order,1,2,3,4,5,6,7,8,9,10
1984,78.5,68.5,66.4,59.2,50.6,42.2,41.6,40.8,38.3,38
1985,79.3,75.8,74.1,63.5,59.3,51.2,48.5,48,41.3,39.5
1986,112.6,77.1,57.1,49.6,39,38.1,34.4,33.1,30.6,29.7
1987,137.3,101.8,55.8,53.4,48.5,46.5,41.3,38.5,37.2,32.2
1988,70.1,49,47.1,43.4,43.3,41.5,40.3,38.5,34.5,34.3
1989,177,83.6,54.6,46.7,43.7,41.5,36.8,36.2,35.3,35.2
1990,105.4,81,75.7,62.5,49.3,44.1,41.7,41.1,39.3,35.9
1991,79.4,69.9,66.6,52.8,52.5,39,37.6,30.3,30.1,25
1992,124.5,91.2,73.8,56.8,55.3,54.9,49.8,40.3,34,33.3
1993,88.6,60,47.5,43.1,36.8,33.2,32.8,29.3,29.2,29.1
1994,83.8,74.9,73.6,60,59.6,59,57,53.6,53.5,47.8
1995,99,75,67.8,50.6,43.1,39.3,37.7,36.9,36.9,35
1996,112,99.4,59.4,58.8,57.5,56.9,56.8,54.5,46.8,44.8
1997,102.8,74.6,67.7,66.1,54.7,45.5,43.5,37.7,33.9,33.8
1998,112,83,60.2,52.2,50.8,42.4,40,34.9,33.4,26.5
1999,66.9,62.9,55.3,50.9,41.7,41.7,36.7,36.4,36.3,28.7
2000,134.2,107.2,102.4,85.9,74.4,70.1,70,62.4,59.1,56.1
2001,89.3,55.9,50.1,49.9,46,43.5,35.9,33.5,31.7,30.4
2002,89.4,54,49,41.7,41.5,40.8,40.2,40.2,39.8,39.8
2003,81.6,48,47.2,44.9,44.4,38.3,36.4,31.3,30.9,30.6
2004,101.1,61.8,59,55,54.3,52.2,41.8,40.4,39,36.1
2005,75,65.7,60.3,48.1,45.6,41.5,38.4,38,36.2,35.6
2006,81.7,71.9,53.1,51.7,43.5,43.4,42.2,40,39.5,39.4
2007,82.9,70.1,61.1,58.7,56.7,56.6,55.7,54.1,52.2,49.2
2008,147.8,112.6,90,81.5,52.9,52.5,50.3,47.2,45.9,45.4
2009,103.8,78.5,72.1,66.1,53.4,52.4,45.5,39.7,38.8,34.4
2010,52.5,48,44.6,43.4,39.2,38.5,34,27.8,27.7,26.2
2011,83.4,74.6,64.6,61.6,45.7,45.3,39.6,39.5,37.9,37.2
2012,182.3,69.2,54.9,54.2,51.7,51.6,47.9,42.3,37.3,35.8
2013,93.4,80.8,70.6,69.3,69.1,66.2,39.7,36.9,35.5,35.5
2014,149.5,104,78.2,77.4,54.5,47.2,46.2,40.3,39.7,36.8
2015,49.8,46.1,45.5,44.3,42.7,38.4,28.8,27.7,24.7,23.9
2016,130.6,98.9,75.2,70.6,70.4,61.1,60.2,55.3,52.1,50
2017,132.1,118.8,104.6,85.9,67.6,62,55.5,48.6,45.2,43.3
2018,65.7,54.4,49.5,46.5,42.8,40.4,35.8,34,32.5,30.7
2019,183.7,160.8,80.9,58.2,52.5,43.2,40.6,37.4,35.2,29.6
2020,73.6,63.4,59,51.8,48.7,46.9,40.7,39.7,34.8,32.8
2021,105.3,58.2,58.1,53.5,49.5,48.4,46,46,41.9,41.4
2022,102.8,75.8,63,61.5,56.8,54.1,50.8,46.3,43.5,42.9
2023,75.4,66.8,65.2,60.5,57.7,48.3,46.5,45,43,33.7
